#TYPE System.Diagnostics.Process
"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"firefox";"19";"670";"2204815372288";"342413312";"728236032";"120672";"D:\Firefox\firefox.exe";"Mozilla Corporation";"5910,5625";"107.0";"107.0";"Firefox";"Firefox";"Process";"8";;"False";;"5652";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"670";"15796";".";"0";"";"System.Diagnostics.ProcessModule (firefox.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"120672";"120672";"728236032";"728236032";"875536";"875536";"866308096";"866308096";"606482432";"606482432";"1989619712";"2205307842560";"True";"Normal";"728236032";"728236032";"00:02:58.5625000";"firefox";"4095";"True";"19";"System.Diagnostics.ProcessStartInfo";"21/11/2022 15:34:13";;"System.Diagnostics.ProcessThreadCollection";"01:38:30.5625000";"01:35:32";"1497149440";"2204815372288";"False";;;;"342413312";"342413312";;
"firefox";"19";"268";"2203757486080";"20987904";"79368192";"19216";"D:\Firefox\firefox.exe";"Mozilla Corporation";"1695,40625";"107.0";"107.0";"Firefox";"Firefox";"Process";"8";;"False";;"5692";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"268";"2116";".";"0";"";"System.Diagnostics.ProcessModule (firefox.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"19216";"19216";"79368192";"79368192";"377096";"377096";"404054016";"404054016";"1135722496";"1135722496";"-384040960";"2207229149184";"True";"Normal";"79368192";"79368192";"00:01:31.6875000";"firefox";"4095";"True";"19";"System.Diagnostics.ProcessStartInfo";"21/11/2022 15:34:25";;"System.Diagnostics.ProcessThreadCollection";"00:28:15.4062500";"00:26:43.7187500";"439263232";"2203757486080";"False";;;;"20987904";"20987904";;
"firefox";"19";"2488";"2207107391488";"473370624";"472371200";"198032";"D:\Firefox\firefox.exe";"Mozilla Corporation";"1624,09375";"107.0";"107.0";"Firefox";"Firefox";"Process";"8";;"False";;"5724";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"2488";"20192";".";"66742";"PowerShell - Google Drive ? Mozilla Firefox";"System.Diagnostics.ProcessModule (firefox.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"198032";"198032";"472371200";"472371200";"1489872";"1489872";"633630720";"633630720";"682680320";"682680320";"-793546752";"2228294479872";"True";"Normal";"472371200";"472371200";"00:13:58.2187500";"firefox";"4095";"True";"19";"System.Diagnostics.ProcessStartInfo";"21/11/2022 15:34:12";;"System.Diagnostics.ProcessThreadCollection";"00:27:04.0937500";"00:13:05.8750000";"-505798656";"2207107391488";"False";;;;"473370624";"473370624";;
"Discord";"19";"2004";"1676005376";"412442624";"523055104";"218528";"C:\Users\monte\AppData\Local\Discord\app-1.0.9007\Discord.exe";"Discord Inc.";"818,625";"1.0.9007";"1.0.9007";"Discord";"Discord";"Process";"13";;"False";;"5748";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"2004";"7892";".";"0";"";"System.Diagnostics.ProcessModule (Discord.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"218528";"218528";"523055104";"523055104";"1300136";"1300136";"568623104";"568623104";"466915328";"466915328";"1718566912";"1718566912";"True";"High";"523055104";"523055104";"00:01:57.0781250";"Discord";"4095";"True";"19";"System.Diagnostics.ProcessStartInfo";"21/11/2022 15:58:19";;"System.Diagnostics.ProcessThreadCollection";"00:13:38.6250000";"00:11:41.5468750";"1676005376";"1676005376";"False";;;;"412442624";"412442624";;
"Code";"19";"521";"2244963151872";"248266752";"206626816";"26424";"D:\Microsoft VS Code\Code.exe";"Microsoft Corporation";"441,203125";"1.73.1";"1.73.1";"Visual Studio Code";"Visual Studio Code";"Process";"8";;"False";;"5784";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"521";"12980";".";"0";"";"System.Diagnostics.ProcessModule (Code.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"26424";"26424";"206626816";"206626816";"826016";"826016";"318337024";"318337024";"361480192";"361480192";"856764416";"2255714594816";"True";"Normal";"206626816";"206626816";"00:00:26.4062500";"Code";"4095";"True";"19";"System.Diagnostics.ProcessStartInfo";"21/11/2022 17:56:20";;"System.Diagnostics.ProcessThreadCollection";"00:07:21.2031250";"00:06:54.7968750";"-1304743936";"2244963151872";"False";;;;"248266752";"248266752";;
"firefox";"19";"312";"2206660620288";"508121088";"717074432";"99800";"D:\Firefox\firefox.exe";"Mozilla Corporation";"398,859375";"107.0";"107.0";"Firefox";"Firefox";"Process";"8";;"False";;"5812";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"312";"4584";".";"0";"";"System.Diagnostics.ProcessModule (firefox.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"99800";"99800";"717074432";"717074432";"553280";"553280";"732426240";"732426240";"677081088";"677081088";"-1147867136";"2219350224896";"True";"Normal";"717074432";"717074432";"00:00:23.2968750";"firefox";"4095";"True";"19";"System.Diagnostics.ProcessStartInfo";"21/11/2022 15:34:14";;"System.Diagnostics.ProcessThreadCollection";"00:06:38.8593750";"00:06:15.5625000";"-952569856";"2206660620288";"False";;;;"508121088";"508121088";;
"Spotify";"19";"512";"853557248";"336539648";"322916352";"150368";"C:\Users\monte\AppData\Roaming\Spotify\Spotify.exe";"Spotify Ltd";"247,9375";"1.1.89.862";"1.1.89.862";"Spotify";"Spotify";"Process";"4";;"False";;"5844";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"512";"17340";".";"0";"";"System.Diagnostics.ProcessModule (Spotify.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"150368";"150368";"322916352";"322916352";"786368";"786368";"339730432";"339730432";"432738304";"432738304";"931753984";"931753984";"True";"Idle";"322916352";"322916352";"00:00:07.8750000";"Spotify";"4095";"True";"19";"System.Diagnostics.ProcessStartInfo";"21/11/2022 18:17:52";;"System.Diagnostics.ProcessThreadCollection";"00:04:07.9375000";"00:04:00.0625000";"853557248";"853557248";"False";;;;"336539648";"336539648";;
"Overwolf";"19";"1530";"5831716864";"119709696";"158261248";"105184";"D:\Overwolf\Overwolf.exe";"Overwolf LTD";"205,34375";"0.208.1.2";"0.208.1.2";"Overwolf";"Overwolf";"Process";"8";;"False";;"5876";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"1530";"13548";".";"0";"";"System.Diagnostics.ProcessModule (Overwolf.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"105184";"105184";"158261248";"158261248";"1320032";"1320032";"172552192";"172552192";"225525760";"225525760";"1667837952";"5962805248";"True";"Normal";"158261248";"158261248";"00:03:10.7968750";"Overwolf";"4095";"True";"19";"System.Diagnostics.ProcessStartInfo";"21/11/2022 15:33:21";;"System.Diagnostics.ProcessThreadCollection";"00:03:25.3437500";"00:00:14.5468750";"1536749568";"5831716864";"False";;;;"119709696";"119709696";;
"audiodg";"0";"239";"2203406864384";"15024128";"8847360";"20208";;;"195,890625";;;;;"Process";"8";;;;;;"239";"18176";".";"0";"";;;;;"20208";"20208";"8847360";"8847360";"95376";"95376";"9392128";"9392128";"15560704";"15560704";"90263552";"2203408486400";;;"8847360";"8847360";"00:02:26.2968750";"audiodg";;"True";"0";"System.Diagnostics.ProcessStartInfo";"21/11/2022 18:14:13";;"System.Diagnostics.ProcessThreadCollection";"00:03:15.8906250";"00:00:49.5937500";"88641536";"2203406864384";"False";;;;"15024128";"15024128";;
"Code";"19";"1046";"2221580836864";"138014720";"314843136";"47288";"D:\Microsoft VS Code\Code.exe";"Microsoft Corporation";"189,46875";"1.73.1";"1.73.1";"Visual Studio Code";"Visual Studio Code";"Process";"10";;"False";;"4596";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"1046";"20208";".";"0";"";"System.Diagnostics.ProcessModule (Code.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"47288";"47288";"314843136";"314843136";"872944";"872944";"515059712";"515059712";"155774976";"155774976";"1259241472";"2221757333504";"True";"AboveNormal";"314843136";"314843136";"00:00:43.8125000";"Code";"4095";"True";"19";"System.Diagnostics.ProcessStartInfo";"21/11/2022 17:56:19";;"System.Diagnostics.ProcessThreadCollection";"00:03:09.4687500";"00:02:25.6562500";"1082744832";"2221580836864";"False";;;;"138014720";"138014720";;
